2011-10-23 19:49:50,375 [MIS] INFO     - iniciando modulo MIS
2011-10-23 20:03:55,905 [SBS] INFO     - iniciando SBC
2011-10-23 20:03:55,906 [ME ] INFO     - iniciando modulo ME
2011-10-23 20:03:55,907 [ME ] CRITICAL - no se puede abrir el socket: [Errno 48] Address already in use
2011-10-23 20:03:55,907 [MIS] INFO     - iniciando modulo MIS
2011-10-23 20:05:48,078 [SBS] INFO     - iniciando SBC
2011-10-23 20:05:48,079 [ME ] INFO     - iniciando modulo ME
2011-10-23 20:05:48,079 [MIS] INFO     - iniciando modulo MIS
2011-10-23 20:06:07,931 [SBS] INFO     - iniciando SBC
2011-10-23 20:06:07,933 [ME ] INFO     - iniciando modulo ME
2011-10-23 20:06:07,933 [ME ] CRITICAL - no se puede abrir el socket: [Errno 48] Address already in use
2011-10-23 20:06:07,934 [MIS] INFO     - iniciando modulo MIS
2011-10-23 20:17:27,811 [SBS] INFO     - iniciando SBC
2011-10-23 20:17:27,812 [ME ] INFO     - iniciando modulo ME
2011-10-23 20:17:27,813 [MIS] INFO     - iniciando modulo MIS
2011-10-23 20:18:03,735 [SBS] INFO     - iniciando SBC
2011-10-23 20:18:03,736 [ME ] INFO     - iniciando modulo ME
2011-10-23 20:18:03,736 [MIS] INFO     - iniciando modulo MIS
2011-10-23 20:22:51,729 [SBS] INFO     - iniciando SBC
2011-10-23 20:22:51,731 [ME ] INFO     - iniciando modulo ME
2011-10-23 20:22:51,731 [ME ] CRITICAL - no se puede abrir el socket: [Errno 48] Address already in use
2011-10-23 20:22:51,732 [MIS] INFO     - iniciando modulo MIS
2011-10-23 20:23:12,220 [ME ] INFO     - conectado desde 192.168.0.6:58735
2011-10-23 20:23:14,570 [ME ] DEBUG    - cliente 192.168.0.6:58735 envia: hola

2011-10-23 20:23:16,754 [ME ] DEBUG    - cliente 192.168.0.6:58735 envia: jpaC1

2011-10-23 20:23:17,673 [ME ] DEBUG    - cliente 192.168.0.6:58735 envia: asd

2011-10-23 20:23:18,753 [ME ] DEBUG    - cliente 192.168.0.6:58735 envia: asd

2011-10-23 20:23:19,345 [ME ] DEBUG    - cliente 192.168.0.6:58735 envia: asd

2011-10-23 20:23:20,025 [ME ] DEBUG    - cliente 192.168.0.6:58735 envia: fasd

2011-10-23 20:23:20,897 [ME ] DEBUG    - cliente 192.168.0.6:58735 envia: afasd

